Nama Produk,Harga Produk,Penjual,Kota Toko,Banyaknya Terjual,Rating Produk
Cuanki Kriboow Selera Martini - Cuanki Instan,Rp13.485,,,250.0,4.9
Mie Nyemek Rempah Teh Shanty,Rp20.010,,,250.0,5.0
Baso Aci Instan Culametan khas Garut ( isi 6 ),Rp4.500,CUANKI CULAMETAN,Kab. Garut,,4.8
cuanki siomay kering isi 50 toping seblak baso aci,Rp11.999,Culametan Food,Kab. Garut,,5.0
cuanki tahu gepeng isi 50 pcs toping seblak baso aci,Rp19.500,CUANKI CULAMETAN,Kab. Garut,,5.0
"siomay mini,  gurilem cimol pangsit 250 gram toping baso aci seblak",Rp6.999,Culametan Food,Kab. Garut,,4.9
kerupuk seblak pedas 1 kg - 1/2 kg,Rp26.500,Bintang Snack & Camilan,Semarang,100.0,5.0
Kylafood Paket 4 Seblak Original 1 Batagor,Rp85.875,kylafood,Bandung,1.0,4.9
Cemilan 250GR Krupuk seblak kering Rafael pedas daun jeruk MEGA SNACK (MS),Rp8.000,Mega Snack 095,Cimahi,3.0,
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp13.500,jajanangarut19,Jakarta Selatan,500.0,4.8
Cilok Baso Aci Isi 50 Pcs Bahan Seblak,Rp28.350,Kulakan Sini Aja,Bekasi,2.0,5.0
[DUS] Indomie Goreng / Kari Ayam Spesial / Ayam Bawang / Soto Mie / Kaldu Ayam / Rendang / Aceh / Geprek / Seblak Jeletot,Rp128.000,Yungyungstores,Jakarta Utara,2.0,5.0
Kylafood Seblak karuhun,Rp11.475,,,4.0,4.8
Kylafood Seblak Mie Baso Sapi Play,Rp23.375,,,500.0,4.9
Kylafood Seblak Mie Baso,Rp23.375,,,4.0,4.9
Seblak Instan Premium Bangsatria,Rp21.000,Foodstocks,Jakarta Selatan,50.0,5.0
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll - Putih,Rp13.250,Distributor-Jaya,Tangerang,100.0,4.8
Kylafood Seblak Cup,Rp14.000,Kylafood Jakarta,Jakarta Selatan,250.0,4.9
